Quận/Huyện,Phường/Xã,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ (phòng),Dài (m),Rộng (m),Giá/m2 (triệu/m²)
Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,10,4,107.5
Quận Thanh Xuân,Phường Kim Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,13,3,65.12
Quận Cầu Giấy,Phường Nghĩa Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,11,5,216.98
Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",Đã có sổ,4,4,15,6,86.67
Huyện Gia Lâm,Thị trấn Trâu Quỳ,"Nhà mặt phố, mặt tiền",Đã có sổ,6,11,25,4,104.7
Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đang chờ sổ,5,3,10,5,80
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,3,4,8,21,66.61
Quận Ba Đình,Phường Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,166.67
Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3,83.33
Quận Cầu Giấy,Phường Trung Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,12,7,356.84
Quận Thanh Xuân,Phường Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,3.5,73.53
Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,3.1,64.29
Quận Nam Từ Liêm,Phường Mỹ Đình 2,"Nhà ngõ, hẻm",Đã có sổ,5,5,10,4,81.4
Quận Cầu Giấy,Phường Trung Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,5,10,5,130
Quận Đống Đa,Phường Ô Chợ Dừa,Nhà phố liền kề,Đã có sổ,4,4,14,4,108.04
Quận Hoàn Kiếm,Phường Hàng Bài,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2,22.5,4,744.44
Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,4.5,76.36
Quận Hoàng Mai,Phường Định Công,Nhà phố liền kề,Đã có sổ,5,4,11,4,141.67
Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,6,3,6,4,124.17
Quận Tây Hồ,Phường Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,5,4,13,4,87.72
Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,4,113.41
Quận Nam Từ Liêm,Phường Cầu Diễn,"Nhà ngõ, hẻm",Đã có sổ,5,8,12,5,65
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,2,2,14,4,46.27
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,2,3,12,4,28.72
Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,4,85.71
Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,4,2,7,3,66.67
Huyện Hoài Đức,Xã Vân Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,6.7,4.7,70
Quận Tây Hồ,Phường Phú Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,5,12,4,95.54
Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,5,3,8,3,85
Quận Thanh Xuân,Phường Khương Mai,Nhà phố liền kề,Đã có sổ,5,3,10,4,106.67
Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,4,11,175.56
Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,3,7,6,109.52
Quận Hà Đông,Phường Yên Nghĩa,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,10,3.4,47.06
Huyện Thanh Trì,Xã Tứ Hiệp,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,10,6,116.67
Quận Đống Đa,Phường Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,4,2,6,4,169.05
Quận Hà Đông,Phường Yên Nghĩa,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,9,3.6,48.48
Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,5,4,14,5,128.57
Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,5,3,8,4,83.33
Quận Thanh Xuân,Phường Thanh Xuân Bắc,"Nhà ngõ, hẻm",Đã có sổ,3,4,8,7,120.37
Quận Hoàng Mai,Phường Định Công,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,11,4,115.22
Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,5,3,13,3,89.47
Huyện Thanh Trì,Xã Thanh Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,14.2,4.7,56.72
Quận Long Biên,Phường Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,4,4,11,4,62.22
Quận Hà Đông,Phường Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,9,4,71.62
Quận Thanh Xuân,Phường Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,12,5,80
Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,2,2,12,4,66.04
Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5,4,12,3,98.33
Quận Đống Đa,Phường Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,6,12,4,126.67
Quận Hoàng Mai,Phường Giáp Bát,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,19,4,111.69
Quận Hà Đông,Phường Dương Nội,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,8,4,69.7
Quận Ba Đình,Phường Cống Vị,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,7,6,266.67
Quận Đống Đa,Phường Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,1,1,18,4,130.28
Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,7,6,10,8,136.67
Quận Ba Đình,Phường Đội Cấn,"Nhà mặt phố, mặt tiền",Đã có sổ,4,8,12,4,1.66
Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,4,3,7,4,130
Huyện Thanh Trì,Thị trấn Văn Điển,"Nhà ngõ, hẻm",Đã có sổ,1,1,11,4,66.67
Quận Đống Đa,Phường Láng Hạ,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,16,5,109.76
Quận Ba Đình,Phường Liễu Giai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,10,5,140
Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,3,101.67
Quận Cầu Giấy,Phường Trung Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,8,8,16,5,331.25
Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,4,3,9,4,100
Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,5,5,11,4,103.33
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,34,48.68
Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,12,4,56.25
Quận Đống Đa,Phường Quốc Tử Giám,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,12,5,183.33
Quận Hà Đông,Phường Nguyễn Trãi,"Nhà ngõ, hẻm",Đã có sổ,4,5,7,5,82.26
Quận Hà Đông,Phường Nguyễn Trãi,"Nhà ngõ, hẻm",Đã có sổ,4,4,8,4,85
Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,2,101.92
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,8,10,11,4,278
Quận Thanh Xuân,Phường Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,7,4,151.67
Quận Hai Bà Trưng,Phường Trương Định,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,6,3,152.94
Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,4,4,13,3.6,80.43
Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,5,3,45,4,63.33
Quận Hà Đông,Phường Phúc La,"Nhà ngõ, hẻm",Đã có sổ,1,2,9,5,57.78
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,3,75
Quận Hà Đông,Phường La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,8.5,3.8,72.73
Quận Tây Hồ,Phường Bưởi,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,35,101.67
Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,3,9,4,51.67
Huyện Hoài Đức,Xã Đông La,"Nhà ngõ, hẻm",Đã có sổ,3,3,9,3.5,40.67
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,2,7,5,77.14
Quận Hoàn Kiếm,Phường Hàng Mã,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5,16,3,164.91
Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,6,13,4,105.66
Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,5,4,12,4,180
Quận Hà Đông,Phường Yên Nghĩa,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,9,3.8,50
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,3,9,4,86.36
Quận Hà Đông,Phường Hà Cầu,Nhà phố liền kề,Đã có sổ,4,8,20,4.6,211.96
Quận Hà Đông,Phường Yên Nghĩa,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,8.5,4,48.57
Thị xã Sơn Tây,Xã Sơn Đông,Nhà biệt thự,Đã có sổ,5,6,18,5,11.11
Quận Hà Đông,Phường Văn Quán,Nhà phố liền kề,Đã có sổ,4,4,16,4,92.86
Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,4,4,17,4,63.04
Quận Thanh Xuân,Phường Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5,12,4,68
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,4,68.18
Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,8,3,94.23
Quận Long Biên,Phường Cự Khối,"Nhà ngõ, hẻm",Đã có sổ,4,5,20,5,57
Quận Đống Đa,Phường Phương Liên,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,17,3300,173.6
Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,3,2,8,5,49.25
Quận Tây Hồ,Phường Quảng An,Nhà biệt thự,Đã có sổ,4,6,17,6,208.33
Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,5,12,4,90
Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,6,4,10,3.5,100
Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,2,2,9,3,52.86
Quận Long Biên,Phường Ngọc Lâm,"Nhà ngõ, hẻm",Đã có sổ,2,2,11,4,52.89
Quận Ba Đình,Phường Đội Cấn,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,11,4,186.05
Quận Đống Đa,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,5,4,10500,4200,197.92
Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,5,4,12,4,180
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,5,80
Quận Bắc Từ Liêm,Phường Phú Diễn,Nhà phố liền kề,Đã có sổ,3,3,14,5,85.71
Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,26,4,76.84
Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,6,6,11,7,70.37
Quận Ba Đình,Phường Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,5,5,115,35,107.5
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,6,3,8,4,83.33
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,2,3,18,3,101.82
Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,2,5,4,93
Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,4,4,9,4,67.65
Quận Hoàng Mai,Phường Đại Kim,"Nhà mặt phố, mặt tiền",Đã có sổ,4,6,11,6,192.75
Quận Hà Đông,Phường Kiến Hưng,Nhà phố liền kề,Đã có sổ,7,8,12,4,130
Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,6,5,105.88
Quận Đống Đa,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3,8,5,100
Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,5,5,9,4,85.71
Quận Hà Đông,Phường La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,12,4,73.33
Quận Tây Hồ,Phường Bưởi,"Nhà ngõ, hẻm",Đã có sổ,4,3,11,3,96.88
Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5,5,10,4,85.71
Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,4,6,9,4,92.11
Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,3,81.82
Quận Hà Đông,Phường Vạn Phúc,"Nhà mặt phố, mặt tiền",Đã có sổ,8,10,14,68,227.78
Quận Ba Đình,Phường Cống Vị,Nhà phố liền kề,Đã có sổ,7,10,13,5,174.39
Quận Bắc Từ Liêm,Phường Phú Diễn,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,10,3,111.76
Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,6,5,10,4,72.5
Quận Hoàn Kiếm,Phường Phúc Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,4,6,20,3,81.43
Quận Hà Đông,Phường Nguyễn Trãi,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,103.95
Quận Thanh Xuân,Phường Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,6,9,10,4,82.5
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,91.67
Quận Cầu Giấy,Phường Yên Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,9,4,178.79
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,2,10,5,113.21
Quận Long Biên,Phường Gia Thụy,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,17,4,123.08
Huyện Gia Lâm,Thị trấn Trâu Quỳ,"Nhà ngõ, hẻm",Đã có sổ,2,2,15,3,64
Quận Long Biên,Phường Bồ Đề,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,12,5.3,100
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,5,14700,4800,135.92
Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,12.3,4.6,64.04
Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,4,4,11.6,3.65,63.1
Quận Cầu Giấy,Phường Nghĩa Tân,"Nhà ngõ, hẻm",Đã có sổ,4,4,11,5,60
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,1,2,11.7,3.65,52.33
Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,7,5,97.22
Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3,90
Quận Thanh Xuân,Phường Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,6,9,10,4,82.5
Quận Tây Hồ,Phường Bưởi,"Nhà ngõ, hẻm",Đã có sổ,4,2,11,3,95.45
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,6,12,5,69.41
Quận Nam Từ Liêm,Phường Mỹ Đình 2,"Nhà ngõ, hẻm",Đã có sổ,5,6,12,4.2,75
Quận Đống Đa,Phường Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,3,3,968,37,65.91
Quận Thanh Xuân,Phường Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2,10,4,144.44
Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,5,3,7,5,61.43
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,4,6.5,5,73.44
Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,3,8.7,3.9,69.12
Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,3,8,4,67.14
Quận Ba Đình,Phường Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,4,4,16,4,81.54
Quận Nam Từ Liêm,Phường Cầu Diễn,"Nhà ngõ, hẻm",Đã có sổ,7,11,22.5,4,80
Huyện Thanh Trì,Thị trấn Văn Điển,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,10,3,95.31
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3.6,152.78
Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,9,5,126.67
Quận Cầu Giấy,Phường Trung Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,4,13,40,104
Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,10,4,350
Quận Bắc Từ Liêm,Phường Phú Diễn,"Nhà ngõ, hẻm",Đã có sổ,4,4,9000,3400,86.45
Quận Hai Bà Trưng,Phường Bùi Thị Xuân,"Nhà ngõ, hẻm",Đã có sổ,5,3,9.6,35,9.71
Quận Hai Bà Trưng,Phường Đống Mác,"Nhà ngõ, hẻm",Đã có sổ,4,4,7.5,4.3,153.13
Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,8,4,140.63
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,3,97.5
Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,5,3,4,7,96.13
Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,137.5
Quận Cầu Giấy,Phường Dịch Vọng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,5,10,310
Quận Hà Đông,Phường Kiến Hưng,Nhà phố liền kề,Đã có sổ,3,4,10,5,76
Quận Hai Bà Trưng,Phường Đồng Tâm,"Nhà ngõ, hẻm",Đã có sổ,4,5,13,4.8,70.31
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,5,105
Quận Long Biên,Phường Ngọc Lâm,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,18,4,76.92
Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,131.71
Quận Hoàng Mai,Phường Hoàng Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,4,9,4,113.33
Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,4,11,3,105.71
Quận Ba Đình,Phường Cống Vị,"Nhà mặt phố, mặt tiền",Đã có sổ,8,2,32,5,341.61
Huyện Thanh Trì,Xã Tân Triều,Nhà phố liền kề,Đã có sổ,3,5,1225,450,746.666
Quận Thanh Xuân,Phường Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,9,2,16,6,284.95
Quận Hoàng Mai,Phường Mai Động,"Nhà ngõ, hẻm",Đã có sổ,4,4,14,3,76.09
Quận Hà Đông,Phường Yên Nghĩa,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,9,4,45.71
Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,10,4,140
Quận Long Biên,Phường Ngọc Thụy,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,11,4,122.64
Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3,63.16
Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,5,6,8,5.6,235.56
Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,24,3,278.65
Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4,8,4,100
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,8,9,5,129.79
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,9,4,250
Quận Ba Đình,Phường Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,3,2,6,5.1,78.13
Quận Nam Từ Liêm,Phường Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,5,3,8,3,75.81
Quận Hai Bà Trưng,Phường Vĩnh Tuy,Nhà phố liền kề,Đã có sổ,6,11,20,3.8,146.67
Huyện Thanh Trì,Thị trấn Văn Điển,"Nhà ngõ, hẻm",Đã có sổ,4,4,14,4,62.5
Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,3,5.6,5.5,88.71
Quận Đống Đa,Phường Phương Mai,"Nhà ngõ, hẻm",Đã có sổ,2,2,12,3,126.47
Quận Đống Đa,Phường Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,6,12,3,96.25
Quận Hai Bà Trưng,Phường Phố Huế,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,6,7,30
Quận Thanh Xuân,Phường Hạ Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,6,6,8,5,104.17
Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,4,13,4,83.33
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,2,10,3,73.33
Quận Thanh Xuân,Phường Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,5,79
Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,7,6,10,5,170
Quận Thanh Xuân,Phường Thanh Xuân Bắc,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,105
Quận Nam Từ Liêm,Phường Mỹ Đình 2,"Nhà ngõ, hẻm",Đã có sổ,5,5,9,4,88.1
Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,4,4,11,4,87.23
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,4,81.43
Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5,4,12,4,110
Quận Nam Từ Liêm,Phường Phú Đô,"Nhà ngõ, hẻm",Đã có sổ,5,3,7,5,82.86
Quận Đống Đa,Phường Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,5,6,14,4.7,70.77
Quận Long Biên,Phường Ngọc Lâm,"Nhà ngõ, hẻm",Đã có sổ,4,4,10.6,3.38,62.5
Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,1,2,8,3,68.18
Huyện Đông Anh,Xã Võng La,"Nhà ngõ, hẻm",Đang chờ sổ,2,4,27,5,28
Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,5,4,11,4,101.09
Quận Tây Hồ,Phường Xuân La,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,19,5,114.13
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,1,2,6,5,67.86
Quận Thanh Xuân,Phường Phương Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,11,3,178.05
Quận Hoàng Mai,Phường Định Công,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,12,3.7,82.22
Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,7,6,10,4,175
Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,4,4,11,4,126.67
Huyện Hoài Đức,Xã Vân Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,5,6,70
Quận Đống Đa,Phường Khương Thượng,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,9,3.5,140
Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4,4,9,4,71.62
Quận Đống Đa,Phường Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,4,2,12,4,97.87
Quận Đống Đa,Phường Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,4,4,13,3,84.62
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,4,3,12,3,94.29
Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3,95
Quận Đống Đa,Phường Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,3,12,3,97.14
Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,4,70
Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,5,3,11,3,103.03
Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,50.3,5.4,86.84
Quận Nam Từ Liêm,Phường Phương Canh,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,19,4,72
Quận Đống Đa,Phường Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,5,6,13,4,90.57
Quận Đống Đa,Phường Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,4,5,13,4,91.35
Quận Ba Đình,Phường Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,5,3,8,3.5,156.67
Quận Hai Bà Trưng,Phường Bách Khoa,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,7,5,164.71
Quận Ba Đình,Phường Nguyễn Trung Trực,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2,8,3,268.75
Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,3,66.67
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,6,4,4,86.96
