Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Dài,Rộng,Giá/m2
Quận Long Biên,Phường Phúc Lợi,"Nhà ngõ, hẻm",Đã có sổ,5,3,7,45,6233
Huyện Hoài Đức,Xã Vân Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,10.5,3.15,6364
Quận Thanh Xuân,Phường Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,15,3,5111
Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3,8387
Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,3,5,4,95
Quận Đống Đa,Phường Cát Linh,"Nhà ngõ, hẻm",Đã có sổ,3,5,7,8,15179
Quận Hoàn Kiếm,Phường Hàng Bài,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,10.5,4.2,32558
Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,5,4,8,3,9667
Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,3.3,11714
Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,71
Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,5,6,11,4,5778
Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,5,4,11,3,5946
Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,3,4,10.2,5,6471
Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,4,4,8,4.7,8529
Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,1,1,6.7,7,6596
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3,7,4,8571
Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5,3,4,4,62.222
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,4,6667
Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,3,7857
Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,3,2,13,5,5238
Quận Hoàn Kiếm,Phường Hàng Mã,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,17,4,24265
Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,6,5,12,9.2,1485
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,2,12,6,6875
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,7,13,5,4925
Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,925
Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4,4,9,3,8125
Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,3,7647
Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,3,75,4,90
Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",Đã có sổ,7,6,18,4,23125
Quận Hai Bà Trưng,Phường Vĩnh Tuy,Nhà phố liền kề,Đang chờ sổ,5,4,10,4,100
Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,4,3,14,4,11458
Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,3,5,4,10556
Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,4,14.3,3.5,840.000
Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,6,12,3,9444
Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,5,6,13.75,4,9636
Quận Tây Hồ,Phường Nhật Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,10,5,20833
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5,3,6,5,10645
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,7,16,3,4095
Quận Tây Hồ,Phường Bưởi,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,4,8611
Quận Nam Từ Liêm,Phường Phương Canh,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,10,3,10714
Quận Thanh Xuân,Phường Phương Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,11,4,12222
Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,8,4,8633
Quận Đống Đa,Phường Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,7,5,4,5,125
Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,3,7.5,4,9167
Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3,8684
Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3,9032
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,7,5,7,4,12833
Quận Đống Đa,Phường Láng Thượng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,8,4,14697
Quận Hà Đông,Phường Phúc La,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,10,5,1378
Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,3.5,82.857
Quận Thanh Xuân,Phường Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,4,5,16,3.5,122
Huyện Hoài Đức,Xã Kim Chung,"Nhà ngõ, hẻm",Đã có sổ,4,2,6,5,7143
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,5,70
Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",Đã có sổ,5,5,12,4,6522
Quận Hoàng Mai,Phường Đại Kim,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,9,5,7333
Quận Hoàng Mai,Phường Đại Kim,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,9,5,7333
Quận Thanh Xuân,Phường Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,6,6,14,4,5273
Quận Hoàng Mai,Phường Định Công,Nhà phố liền kề,Đã có sổ,5,4,10,4,70
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,5789
Quận Long Biên,Phường Thượng Thanh,"Nhà ngõ, hẻm",Đã có sổ,3,2,9,3,4533
Quận Bắc Từ Liêm,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,2,3,18.2,5.5,42
Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,4,4,9,4,7714
Huyện Thanh Oai,Xã Cự Khê,"Nhà ngõ, hẻm",Đã có sổ,3,3,10,3,4844
Quận Tây Hồ,Phường Bưởi,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,28,10667
Quận Bắc Từ Liêm,Phường Phú Diễn,"Nhà ngõ, hẻm",Đã có sổ,4,3,6,6,875
Quận Long Biên,Phường Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,5,4,160,38,8333
Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,4,3,7,7,10182
Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,3,7154
Huyện Hoài Đức,Xã Vân Canh,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,3,6818
Quận Thanh Xuân,Phường Thanh Xuân Nam,"Nhà mặt phố, mặt tiền",Đã có sổ,4,6,13.5,6,21605
Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,7,5,914
Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4,4,8,4,7444
Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,3.5,7105
Quận Đống Đa,Phường Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,4,12,4,11731
Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,3,3,10,3,6176
Quận Đống Đa,Phường Láng Hạ,Nhà biệt thự,Đã có sổ,7,4,20,8,60606
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,3,7333
Quận Đống Đa,Phường Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,7,5,4,120
Huyện Hoài Đức,Xã La Phù,"Nhà ngõ, hẻm",Đã có sổ,2,2,11,3,3469
Quận Đống Đa,Phường Quốc Tử Giám,"Nhà ngõ, hẻm",Đã có sổ,4,3,5,4,91
Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,3,9,3,5333
Quận Ba Đình,Phường Điện Biên,"Nhà ngõ, hẻm",Đã có sổ,3,2,6,4,15769
Quận Ba Đình,Phường Thành Công,"Nhà ngõ, hẻm",Đã có sổ,1,1,12,3,21333
Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,4,4,13,4,9091
Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,4,4,14,4,9821
Quận Hai Bà Trưng,Phường Trương Định,Nhà phố liền kề,Đã có sổ,4,3,8,4,8333
Quận Thanh Xuân,Phường Phương Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,10,4,60
Huyện Thường Tín,Xã Văn Bình,"Nhà ngõ, hẻm",Đang chờ sổ,1,2,68,4,1667
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,4,90,50,8409
Quận Tây Hồ,Phường Phú Thượng,Nhà phố liền kề,Đã có sổ,4,4,18,5,9829
Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,3,4,8,4,7344
Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,6,5,7333
Quận Nam Từ Liêm,Phường Cầu Diễn,"Nhà ngõ, hẻm",Đã có sổ,2,4,14,8,6667
Quận Tây Hồ,Phường Thụy Khuê,Nhà phố liền kề,Đã có sổ,5,7,15,4,12885
Quận Hoàng Mai,Phường Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,3,79
Quận Hà Đông,Phường Kiến Hưng,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,11.3,3.5,57
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,4,775
Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,3,3,10,3,8065
Quận Bắc Từ Liêm,Phường Đức Thắng,"Nhà ngõ, hẻm",Đã có sổ,2,2,10,4,30
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,16.9,3.3,10536
Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,5,4,23,3,5286
Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,4,10545
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4,14,3,64
Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,5,3,11,3.5,7105
Quận Nam Từ Liêm,Phường Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,5,4,6,5,100
Quận Đống Đa,Phường Phương Liên,"Nhà ngõ, hẻm",Đã có sổ,3,3,13,5,7286
Quận Cầu Giấy,Phường Dịch Vọng,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,13,4,140
Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,4,7105
Quận Cầu Giấy,Phường Dịch Vọng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,15,4,23188
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,4,195
Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,4,7105
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,3,9167
Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,5,4,9,3,100
Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,3,6,9,10,5376
Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Giấy tờ khác,4,3,10,3,5167
Quận Thanh Xuân,Phường Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3,7436
Quận Thanh Xuân,Phường Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,8,4,7895
Quận Ba Đình,Phường Phúc Xá,Nhà biệt thự,Đã có sổ,5,4,11,4,13111
Quận Đống Đa,Phường Văn Miếu,"Nhà ngõ, hẻm",Đã có sổ,4,3,5,45,90
Quận Long Biên,Phường Ngọc Lâm,"Nhà ngõ, hẻm",Đã có sổ,4,3,7,5,8286
Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",Đã có sổ,6,9,11,4,106
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,4,14792
Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,5,4,9,3,100
Quận Tây Hồ,Phường Thụy Khuê,"Nhà mặt phố, mặt tiền",Đã có sổ,7,4,4,4,35909
Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,14,4,8182
Quận Đống Đa,Phường Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,5,2,5,3.6,13611
Quận Đống Đa,Phường Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,1375
Quận Hai Bà Trưng,Phường Đồng Nhân,"Nhà ngõ, hẻm",Đã có sổ,5,6,17,4,10667
Huyện Hoài Đức,Xã Vân Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,4,5667
Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,6,3,7,3,825
Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,619
Quận Đống Đa,Phường Văn Chương,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,12,3,6471
Quận Tây Hồ,Phường Nhật Tân,"Nhà ngõ, hẻm",Đã có sổ,6,5,12,4,15435
Quận Đống Đa,Phường Ngã Tư Sở,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,19,3,13091
Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,4,4,9.5,4.3,850
Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,4,4,11.5,3.5,775
Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,10,4,105
Quận Hoàng Mai,Phường Đại Kim,"Nhà mặt phố, mặt tiền",Đã có sổ,2,1,9,4.5,10417
Quận Đống Đa,Phường Quốc Tử Giám,"Nhà ngõ, hẻm",Đã có sổ,3,2,5.4,3.5,6842
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,3.3,8485
Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,3.5,8571
Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,4,75
Quận Tây Hồ,Phường Quảng An,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,18,10,50549
Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,35,6786
Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,3,3,10,3.2,4762
Quận Hoàng Mai,Phường Tân Mai,Nhà phố liền kề,Đã có sổ,5,3,11,4,9286
Quận Đống Đa,Phường Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,3,3,5.3,6,7813
Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,15,4,7833
Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,4,4,9,5,6222
Quận Thanh Xuân,Phường Hạ Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,9,6,11019
Quận Hai Bà Trưng,Phường Phố Huế,Nhà phố liền kề,Đã có sổ,5,4,12,3,32857
Quận Thanh Xuân,Phường Thanh Xuân Bắc,"Nhà ngõ, hẻm",Đã có sổ,5,4,11,4,10111
Quận Hà Đông,Phường La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,17,6,65
Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,3,3,16,4,5615
Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,619
Quận Hà Đông,Phường Văn Quán,Nhà phố liền kề,Đã có sổ,4,5,20,4,8687
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,4,3,1,1,1375
Quận Nam Từ Liêm,Phường Tây Mỗ,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,6,4,75
Quận Tây Hồ,Phường Xuân La,"Nhà mặt phố, mặt tiền",Đã có sổ,6,9,17,4,22143
Quận Nam Từ Liêm,Phường Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,3,4,639,636,6304
Quận Hoàng Mai,Phường Mai Động,"Nhà ngõ, hẻm",Đã có sổ,2,2,18,4,40
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,3,3,7,6,110
Quận Đống Đa,Phường Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3,9459
Quận Hoàng Mai,Phường Tân Mai,Nhà phố liền kề,Đã có sổ,5,6,9,5,10222
Quận Hai Bà Trưng,Phường Bạch Đằng,"Nhà ngõ, hẻm",Đã có sổ,4,4,6,7,80
Quận Hoàng Mai,Phường Đại Kim,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,11,4,125
Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,5,5,10,4,8684
Quận Cầu Giấy,Phường Mai Dịch,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,14,4,9821
Quận Tây Hồ,Phường Yên Phụ,"Nhà ngõ, hẻm",Đã có sổ,5,5,11,4,8667
Quận Thanh Xuân,Phường Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,4,2,9,5.4,14889
Quận Hoàng Mai,Phường Trần Phú,Nhà biệt thự,Đã có sổ,4,4,22,11,875
Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,9,3,11806
Quận Cầu Giấy,Phường Mai Dịch,"Nhà mặt phố, mặt tiền",Đã có sổ,7,10,21,4,8471
Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,5,998
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,3,3,15,4,10172
Quận Cầu Giấy,Phường Nghĩa Tân,"Nhà ngõ, hẻm",Đã có sổ,4,8,11,5,15182
Quận Hà Đông,Phường Biên Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,2,5,17,5,3295
Quận Hoàng Mai,Phường Yên Sở,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,3.3,8333
Quận Tây Hồ,Phường Quảng An,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,12,4,180
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4,11,3,90
Quận Tây Hồ,Phường Xuân La,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,12,4,22917
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,5,124
Quận Tây Hồ,Phường Nhật Tân,"Nhà ngõ, hẻm",Đã có sổ,6,5,12,4,15435
Quận Đống Đa,Phường Cát Linh,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3,8657
Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,4,3,5,2,100
Quận Đống Đa,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,4,110
Quận Hoàng Mai,Phường Yên Sở,Nhà phố liền kề,Đã có sổ,4,3,20,6,2125
Quận Đống Đa,Phường Nam Đồng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,4,5,18125
Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,3,12,4,6429
Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,4,4,16.5,4,8939
Huyện Thanh Trì,Xã Thanh Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,5,14.5,4,7663
Huyện Hoài Đức,Xã Kim Chung,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,10,3.53,7857
Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,4,6,6,18438
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,5,8,5,9545
Quận Ba Đình,Phường Ngọc Hà,"Nhà mặt phố, mặt tiền",Đã có sổ,4,2,10,3,8258
Quận Hoàng Mai,Phường Định Công,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,5,13,11429
Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,5,8,10,5,150
Quận Long Biên,Phường Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,5,4,14,10,7021
Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,8,11,4,7333
Quận Long Biên,Phường Bồ Đề,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,21,5,9906
Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,3,5286
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,9,4,50
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,3,9,3,725
Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,3,2,6,5,110
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,15,3,270
Quận Đống Đa,Phường Trung Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,7,4,19667
Quận Tây Hồ,Phường Nhật Tân,Nhà biệt thự,Đã có sổ,4,6,20,10,10
Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,4,3,9,3,8333
Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2,7,3,5833
Quận Tây Hồ,Phường Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,3,3,11,5,8182
Quận Long Biên,Phường Gia Thụy,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,8,4,10938
Quận Đống Đa,Phường Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,5,3,7,3,9957
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,5,6,14,3.3,9333
Quận Thanh Xuân,Phường Khương Trung,Nhà biệt thự,Đã có sổ,5,5,14,5,9857
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,4,8,3,475
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,2,10,3,8281
Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3,7429
Huyện Thanh Oai,Xã Bích Hòa,"Nhà ngõ, hẻm",Đã có sổ,3,3,10,3,375
Quận Ba Đình,Phường Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,6,4,10,5,76
Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,4,2,10,3,8125
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,7,8,7,8,500
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,12444
Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,4,75
Quận Hai Bà Trưng,Phường Bạch Đằng,"Nhà ngõ, hẻm",Đã có sổ,3,2,15,3,55
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,4,2,4,9,8939
Quận Hoàng Mai,Phường Thanh Trì,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,10,4,11111
Huyện Gia Lâm,Xã Đông Dư,"Nhà ngõ, hẻm",Đã có sổ,4,4,9,4,5818
Quận Hai Bà Trưng,Phường Trương Định,"Nhà mặt phố, mặt tiền",Đã có sổ,4,2,21,3,15918
Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,5,6,11,4,9574
Quận Hoàng Mai,Phường Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,3,2,8,3,5435
Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,2,2,12,4.8,5161
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,3.2,7086
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,5,11,5,6441
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,6,5,8,3,2125
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,4,4,6.8,7,9149
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,3,3,15,5.4,3654
Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,15,15,10606
Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,4,5,11,4,110
Quận Cầu Giấy,Phường Nghĩa Tân,"Nhà ngõ, hẻm",Đã có sổ,5,4,6,6,9714
Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,3,2,10,3,9459
Quận Thanh Xuân,Phường Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,55,6,12,4,10778
Quận Đống Đa,Phường Phương Mai,"Nhà ngõ, hẻm",Đã có sổ,4,2,5,4,9933
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,7,4,18,5,27222
